player,season,mp,y_defense,baseline,structure_penalty_l2_0.05,structure_penalty_l2_0.10,structure_penalty_l2_0.25,published_output_0.075
Channing Frye,2013-14,2312.0,0.4000000059604645,0.5068378059689851,0.6637509705708535,0.6403561227149218,0.5685853248818606,0.511410940561914
Patty Mills,2013-14,1527.0,0.8999999761581421,1.170275161029417,1.4236043061271566,1.4580713890793864,1.4807807340006285,1.272809923910971
Dwight Howard,2013-14,2396.0,2.4000000953674316,1.8249178240420831,1.1617021373548968,1.135683725148688,1.1095742348473587,1.7546040216587204
Vince Carter,2013-14,1973.0,0.4000000059604645,0.16523260493756747,-0.12247348526077864,-0.14662460794555288,-0.09811338817744888,0.13128470739244383
Darren Collison,2013-14,2069.0,1.600000023841858,-0.4043273931894712,-0.05733931457680427,-0.08109410992926064,-0.14162012324693907,-0.3900345648875683
Andre Drummond,2013-14,2619.0,0.20000000298023224,0.0453913037753583,0.35632008121449793,0.15987176210940165,0.09929758764150906,-0.004774360925385024
PJ Tucker,2013-14,2490.0,0.8999999761581421,0.7667935601975242,0.6078320276691679,0.5283800633049484,0.5077501961224213,0.6826334785575486
Draymond Green,2013-14,1797.0,4.599999904632568,3.299393229761573,3.6910962979599335,3.612166368946343,3.530182822748116,3.309271788261466
Roy Hibbert,2013-14,2409.0,3.4000000953674316,3.2627422957945704,4.027692452504519,4.0540793003293,4.1626379247522936,3.311494029934463
Andrew Bogut,2013-14,1769.0,4.400000095367432,3.886165930794008,3.791626131805029,3.727353722993067,3.59863904100909,3.8372039855904663
Al Jefferson,2013-14,2553.0,1.7999999523162842,1.843373231114416,1.3952558487714795,1.4017568261378925,1.4505671909253035,1.8500499049364691
David Lee,2013-14,2288.0,1.2000000476837158,1.8991495304425796,1.6376294493372616,1.6110716143887434,1.6631533126288671,1.9087478128863842
Nikola Pekovic,2013-14,1663.0,2.200000047683716,0.58830232687186,0.7741243257074534,0.8338912735609293,0.8452341121859894,0.6356715618331981
Corey Brewer,2013-14,2609.0,0.699999988079071,1.3239366334753173,0.7903361629656026,0.6996841260900781,0.6669430905151518,1.2220475429114903
Tim Duncan,2013-14,2158.0,3.0,2.3613112077300378,2.4240586151421946,2.3635336552341704,2.4229594249740956,2.3576854729338463
Kyrie Irving,2013-14,2496.0,-1.2000000476837158,-1.7593506357490896,-1.3047915450674332,-1.3387412460585144,-1.3183475542552945,-1.7184923546047475
Kyle Korver,2013-14,2408.0,-0.6000000238418579,0.4714196994052938,0.5595652248410087,0.5924589491548617,0.5290851816991403,0.4788673802634025
Paul Pierce,2013-14,2098.0,1.7999999523162842,2.1670908474664152,2.2830413198281354,2.161842303467871,2.12413109373669,2.102907766676088
Gordon Hayward,2013-14,2800.0,-0.10000000149011612,-0.18532954743461538,-0.49621065030719086,-0.5698266874559882,-0.6578723407232897,-0.2924040343538356
Eric Bledsoe,2013-14,1416.0,2.200000047683716,1.4109388984705642,1.1040490769304276,1.1153700699299471,1.1034900926951507,1.382949629818789
Chris Bosh,2013-14,2531.0,1.0,2.132940516745377,2.2765656479209184,2.286731480983218,2.278440410774281,2.138683894199104
DeMar DeRozan,2013-14,3017.0,-1.2999999523162842,-1.2192234961038046,-0.9664068322039396,-0.9415413861416717,-0.8532577932163956,-1.1524220065046111
Reggie Jackson,2013-14,2277.0,0.4000000059604645,-0.10646722045855453,0.0027457273239347435,0.060918386125071625,0.07773645972103675,-0.05248733099618906
Russell Westbrook,2013-14,1412.0,0.4000000059604645,-0.8455324209352693,-0.38326773019091004,-0.36089547067862715,-0.35299636308258914,-0.7935372739766537
Monta Ellis,2013-14,3023.0,-0.800000011920929,-1.3278639975438788,-0.9425858056984512,-0.9668207048209829,-0.971095498054244,-1.332704461851758
Bradley Beal,2013-14,2530.0,0.4000000059604645,0.13947832098655977,0.17882153933504544,0.1944630281403009,0.2689734923086387,0.15447349245920294
Marc Gasol,2013-14,1970.0,2.799999952316284,1.5997344659073085,1.5321423564832033,1.4436237537205403,1.441430173990424,1.558673732814565
Josh McRoberts,2013-14,2360.0,-1.0,0.41931089125504656,0.5391878231095447,0.4935019835404074,0.4915580752504792,0.4290574625216238
Jared Sullinger,2013-14,2041.0,1.100000023841858,0.8729132966959424,1.3562654667419887,1.3746714193638994,1.2030799812695716,0.8609691198873519
Marco Belinelli,2013-14,2016.0,-1.2999999523162842,-1.333370553077731,-0.994199441473859,-0.9104954343596858,-0.855649255938003,-1.2430612243842203
Randy Foye,2013-14,2485.0,-1.399999976158142,-1.8594178075959327,-1.9016467979049962,-1.8560551642609835,-1.8806935817698291,-1.8529966431241534
Courtney Lee,2013-14,1973.0,1.0,0.9380702351114508,0.9961610841583706,1.0112418900868063,1.148656025555184,0.9625394224909568
Rudy Gay,2013-14,2531.0,-0.5,-0.5684426768006696,-0.7420284824330121,-0.7972421892054526,-0.7560474078113073,-0.6034849396980628
Jeremy Lin,2013-14,2054.0,1.7999999523162842,0.8599128314602683,0.6612258732914627,0.7193019200997995,0.7571470402316701,0.8420771597309337
Mike Dunleavy,2013-14,2584.0,0.10000000149011612,0.8792252939472489,1.3354685601770542,1.304402616274187,1.3573649963622485,0.9653168729078546
Amir Johnson,2013-14,2214.0,1.2000000476837158,1.5710102899084695,1.4111694988261212,1.4234750281146218,1.442642505768657,1.5552654143982725
Shane Battier,2013-14,1468.0,2.700000047683716,1.6320156524700404,2.1243922851297294,2.1814275451651985,2.2457054526586786,1.724443877061171
Luol Deng,2013-14,2213.0,0.6000000238418579,0.17006920445505214,0.3219467469140324,0.31540460333976333,0.34490206931895295,0.17793574789711133
Kris Humphries,2013-14,1376.0,3.0,0.8232403358455324,1.103440823354154,1.0682923690382515,1.1337461010726875,0.8728753200820396
Tiago Splitter,2013-14,1271.0,4.199999809265137,4.101278963792667,4.056370953913303,4.052964947325661,4.016393768551464,4.072456532619737
Boris Diaw,2013-14,1974.0,0.30000001192092896,0.3779909943893262,0.48127966819434637,0.49247903698503415,0.6672708705097938,0.45476035794724257
Shaun Livingston,2013-14,1974.0,0.8999999761581421,1.6059396993831605,1.4319660417498599,1.3782896355289624,1.3317466262508841,1.5207943623265727
Greg Monroe,2013-14,2690.0,-0.30000001192092896,-0.44695181818382074,-0.14781512348205608,-0.11887110418931038,-0.18893536245693632,-0.48468894241499483
Derek Fisher,2013-14,1428.0,2.0,1.4703357959683074,1.7718455926582297,1.7279162596346516,1.6932909563257525,1.480556709817317
Michael KiddGilchrist,2013-14,1502.0,4.400000095367432,2.021421163230932,1.6866218745708275,1.5849985054649083,1.4782974512511347,1.9072435602989668
Zach Randolph,2013-14,2705.0,-1.2999999523162842,0.23419034251718612,0.2222392202285612,0.2287038713585466,0.23195441087575408,0.2580854274576166
Jeff Teague,2013-14,2542.0,-0.5,-0.39821215528085574,-0.8656216628251481,-0.8800370587185138,-0.8708628313913972,-0.3950235988775967
Dwyane Wade,2013-14,1775.0,-0.20000000298023224,0.7871102561118284,0.1902053379746663,0.17730948718917372,0.15714372724526465,0.6913669131864918
Michael CarterWilliams,2013-14,2414.0,0.6000000238418579,0.06141491179085955,0.06346813470745843,0.002475457231589033,-0.055833121092135646,0.014616059160184124
Jae Crowder,2013-14,1254.0,3.0,2.0915601599724707,2.184163968214154,2.264502189784473,2.2238701437997697,2.096972013136682
Joe Johnson,2013-14,2575.0,-2.700000047683716,-1.6103659494271083,-1.2574127140560711,-1.2395949282902163,-1.2804018690061811,-1.5679799112326989
Lance Stephenson,2013-14,2752.0,-0.800000011920929,-0.02309027356591374,0.4503109528904479,0.3349000756481198,0.3975053723494525,0.05325821826972539
Tony Allen,2013-14,1278.0,2.4000000953674316,2.8774383977509927,2.890320886145385,2.903592372777167,2.8694782402610737,2.8177534969313576
Nene,2013-14,1560.0,3.799999952316284,2.731930219304957,2.7343923176574028,2.6939653459915016,2.6241658092707847,2.6828871461182433
Terrence Ross,2013-14,2159.0,-0.10000000149011612,-0.48957945262531827,-0.30564802227283694,-0.2978565301480025,-0.3132288421633883,-0.47405307030724503
Chris Andersen,2013-14,1396.0,1.600000023841858,2.1509119617078123,1.8375683207943276,1.8212434236344763,1.8256565085217538,2.1319749710859077
Kirk Hinrich,2013-14,2116.0,2.0999999046325684,2.2322197396540693,2.475667226403816,2.5286957557420573,2.543979364680627,2.2408719136468984
Iman Shumpert,2013-14,1962.0,1.0,1.9651976331054821,1.657699466861549,1.5580583351294777,1.398568408662348,1.8317159946363588
Nick Young,2013-14,1810.0,-1.5,-1.7201173509838261,-2.022127090387251,-1.9735493827360582,-1.8683752924291328,-1.716361028962889
Alec Burks,2013-14,2193.0,-0.699999988079071,-0.9394213037213011,-0.8197511375279903,-0.889493438572377,-1.0395229278980231,-0.9622023704394245
Jamal Crawford,2013-14,2094.0,-2.5,-2.100186973469255,-2.0033710749223177,-2.0087165788950316,-1.9462130128276627,-2.038141232399473
Tyreke Evans,2013-14,2028.0,-0.800000011920929,-1.2729569804019212,-1.43211759989138,-1.391972984678135,-1.4323173070335997,-1.2994175189805703
Spencer Hawes,2013-14,2470.0,0.5,-0.47891767181960976,-0.38800255660921734,-0.28931671243225704,-0.2560921373097823,-0.4459412334508562
Wilson Chandler,2013-14,1927.0,0.0,-1.16410109779033,-1.1774191839505075,-1.1351234319373713,-1.177606068975497,-1.143839902752094
Gerald Green,2013-14,2330.0,-1.2999999523162842,-1.0905905368355584,-1.0591958504111783,-1.038952707783211,-1.1277989859653115,-1.091736220585042
CJ Watson,2013-14,1193.0,3.200000047683716,2.693671764680082,3.447709949040629,3.3802076451513794,3.4489861786543248,2.685133241281238
Matt Barnes,2013-14,1735.0,-0.30000001192092896,-0.2973667193898839,-0.6621958267343176,-0.6231632183898547,-0.6338867609912937,-0.3236038726376058
Jose Calderon,2013-14,2468.0,-2.0,-2.2257306775391097,-2.168315823657216,-2.0873682392256305,-2.0532585238946086,-2.1847223449650586
Jrue Holiday,2013-14,1143.0,-0.10000000149011612,-0.3270428808874622,-0.5132867072215797,-0.5044313659270316,-0.549738865883258,-0.36547374827162166
Brandon Jennings,2013-14,2728.0,-2.799999952316284,-2.3227742510208866,-2.0151935990819108,-2.071775861553942,-2.070743067378191,-2.3124508468212026
Jodie Meeks,2013-14,2556.0,-1.2999999523162842,-1.9891935147401938,-1.9592909420859064,-1.9111693538343735,-1.8001266754608938,-1.9766185069183977
Kyle Singler,2013-14,2337.0,-0.30000001192092896,-0.718396207368105,-0.6995902529707094,-0.7394823399517418,-0.8019777622801997,-0.7450003839323455
Matthew Dellavedova,2013-14,1271.0,0.6000000238418579,0.12627862116287716,0.15431378503756574,0.15691309319488958,0.21480306480668016,0.15060400441832456
Pablo Prigioni,2013-14,1283.0,0.0,0.7198301076262262,0.6167817621351436,0.5656618849593612,0.4566210871993855,0.6444921604391396
Jonas Valanciunas,2013-14,2282.0,0.10000000149011612,0.7887051094497135,0.807536193672998,0.7645079401949978,0.7701570152478237,0.7927621518879617
Nick Collison,2013-14,1353.0,0.699999988079071,1.8063026182386082,1.231081329551051,1.1795197212571242,1.2936588831921334,1.8219018975520571
Tony Parker,2013-14,1997.0,-1.0,-1.3690340052339431,-0.9699946574984132,-0.87470994895181,-0.7752956584040634,-1.2501441744470059
Thabo Sefolosha,2013-14,1584.0,2.299999952316284,1.4328175114013257,1.5226203071369615,1.4529406587713385,1.5644655198235728,1.4372580688938887
Nikola Vucevic,2013-14,1812.0,0.8999999761581421,0.18148954125731465,0.7000415015972793,0.7049850141593703,0.6730744425732058,0.23655157366246568
DJ Augustin,2013-14,1939.0,-2.0999999046325684,-0.7519869659457574,-0.822024344028241,-0.7548487528602819,-0.7049492341415073,-0.6862531057007301
Avery Bradley,2013-14,1855.0,0.8999999761581421,-0.30637041311428664,-0.309861391915626,-0.36599101343271073,-0.36138919137399805,-0.3198235271493467
Taj Gibson,2013-14,2351.0,0.800000011920929,1.746884623341919,1.6767769801176036,1.7796415844658033,1.899514095228362,1.8206515685874294
Khris Middleton,2013-14,2460.0,-0.8999999761581421,-0.9835117599037784,-1.1240754420678751,-1.2002885174561855,-1.2330887030181006,-1.0268410362491511
Victor Oladipo,2013-14,2487.0,2.4000000953674316,1.5658798714713373,1.4173861508738206,1.3756055565410317,1.2955760317847176,1.5079063208807062
Nate Wolters,2013-14,1309.0,1.2999999523162842,0.42641122718897784,0.613187879875698,0.689741636567598,0.6130417142661482,0.4218059928546471
Ray Allen,2013-14,1936.0,-1.600000023841858,-1.5944440597428233,-1.4956968251650058,-1.4721232502375066,-1.4507054037409621,-1.5477187139377069
Andray Blatche,2013-14,1618.0,1.100000023841858,0.23276850300860136,0.516374462285182,0.49622978803430606,0.5152054937208245,0.2720013438635709
Samuel Dalembert,2013-14,1614.0,2.5,1.2324417809293073,0.7635866227969332,0.7816883276007022,0.6922665039308707,1.1738745130210542
Jeremy Evans,2013-14,1209.0,1.100000023841858,0.9199260528404473,0.6660238168411532,0.7019536836325713,0.6315127479818039,0.8388329340523885
Derrick Favors,2013-14,2201.0,0.4000000059604645,0.30465026155481345,0.06293485332094789,0.021162211400037347,0.05225635125436766,0.2333280629582142
Jeremy Lamb,2013-14,1538.0,0.0,0.6665452645383272,0.5657539744616163,0.49873021101832643,0.4697442288930046,0.6574593448991793
Shelvin Mack,2013-14,1490.0,-0.5,-1.5330338625749513,-1.187624102881994,-1.0454492618902653,-1.0303596896556138,-1.4326181749036624
Patrick Patterson,2013-14,1533.0,0.800000011920929,1.434445072664046,1.6582684192354242,1.5979574837123438,1.6416578722538442,1.432768924684939
Greivis Vasquez,2013-14,1779.0,-0.4000000059604645,-0.20124701298920816,-0.1782490547572749,-0.15774045749567173,-0.1280850922354147,-0.14270924574409244
Nick Calathes,2013-14,1173.0,3.5,2.2758294865160202,2.0211110538866297,2.0929073364717974,2.159792529516243,2.274885144952321
Omri Casspi,2013-14,1283.0,1.2999999523162842,1.1371493445813008,1.0413759517140275,1.0950488812444652,1.128184109972687,1.1469950084455307
Raymond Felton,2013-14,2017.0,-0.6000000238418579,-0.02134765823817084,-0.10882712679957147,-0.1874222399118853,-0.24805637329143354,-0.07742919896533752
Markieff Morris,2013-14,2153.0,-0.6000000238418579,0.02237328030765466,0.10782290127340875,0.0425354186674984,0.08810509179028313,0.043003934498026544
Anthony Morrow,2013-14,1426.0,-0.8999999761581421,-1.1588083253118628,-1.4061175951094844,-1.3523035146765403,-1.3740152214030295,-1.1639322643856547
Timofey Mozgov,2013-14,1770.0,1.100000023841858,1.2123459165137227,1.1798689057420315,1.1807958228574682,1.1530686576080575,1.2176365324200566
Josh Smith,2013-14,2730.0,0.800000011920929,0.46655968176044504,0.5839159772622058,0.5221339143192504,0.4414637609659033,0.4151259332558182
Terrence Jones,2013-14,2078.0,-1.600000023841858,-0.0434846635245939,-0.050722530436077384,0.025462909168503342,0.05738665523014963,-0.017320241008379745
Kosta Koufos,2013-14,1349.0,2.0999999046325684,2.1663652096895634,1.7252579384610172,1.6928341504787099,1.7427022847294675,2.155944928237483
Marcus Thornton,2013-14,1741.0,-0.8999999761581421,-1.4209006905697246,-1.203418564284076,-1.181561186167066,-1.075227460370405,-1.3478904712251052
Tyson Chandler,2013-14,1662.0,1.100000023841858,0.19342139041202566,0.31769323355402507,0.2940614428397569,0.2762878914492411,0.2011292584130936
Jared Dudley,2013-14,1729.0,0.20000000298023224,-0.05485948365865939,-0.15928684805606894,-0.1043693829038384,-0.07656459250678785,-0.014458088935098222
ETwaun Moore,2013-14,1506.0,1.0,1.169989953254962,0.7771678932165069,0.7913906438141933,0.8181970737894251,1.1239552830961093
AlFarouq Aminu,2013-14,2045.0,0.5,0.04757624989909863,0.3593961268860562,0.304413980483856,0.25627116030717084,0.04078402364911434
Anthony Tolliver,2013-14,1298.0,-0.30000001192092896,0.005411886151862569,0.0118137961984192,0.04335304892338672,0.05369257065845394,0.0749842097744656
Giannis Antetokounmpo,2013-14,1897.0,0.20000000298023224,0.27049084672341167,0.3219343119079707,0.2818476601169343,0.19346098226118502,0.22852439722949558
Alan Anderson,2013-14,1773.0,-0.10000000149011612,-0.48891468934445725,-0.4027096312355607,-0.43271317678194887,-0.4525155211718951,-0.48911820999342565
Kentavious CaldwellPope,2013-14,1583.0,0.20000000298023224,1.3251664131811596,1.0755302846163923,1.0230079195470096,0.9130299454494817,1.2498435291460188
Kenneth Faried,2013-14,2178.0,-2.4000000953674316,-0.3780309339303635,-0.2813302573939295,-0.2598776086416356,-0.3190030205215395,-0.41523053923677783
Maurice Harkless,2013-14,1950.0,0.4000000059604645,0.3512805966487488,0.39805918974665,0.40200288513924304,0.37613066113005383,0.3111423621953886
Brandon Knight,2013-14,2400.0,-2.299999952316284,-2.114232533292061,-2.014060170282071,-2.0020583272228945,-2.020213250358647,-2.1315704593811473
Ian Mahinmi,2013-14,1248.0,3.5,3.301497448713461,3.6731709304243614,3.635810250888813,3.7231603237071536,3.3421321802023884
JR Smith,2013-14,2421.0,-3.0999999046325684,-1.983304572975542,-2.024756516830589,-2.0298879972461905,-2.053498140505261,-1.986268712496614
Kyle OQuinn,2013-14,1188.0,1.600000023841858,1.7789542630939401,0.9670188053090752,0.9527865585179633,0.8637414608092818,1.6373203406599237
Gerald Wallace,2013-14,1416.0,1.600000023841858,1.7620250466910827,1.4949863326584045,1.551506438383544,1.4405400366200811,1.657125185176041
Marvin Williams,2013-14,1674.0,-1.7000000476837158,-0.7430549308545067,-0.4681210968731654,-0.49057724747892817,-0.5451445478195879,-0.748589887485674
Brandan Wright,2013-14,1077.0,-1.399999976158142,-0.7619798205260886,-1.0258070088475666,-0.9934709686065528,-0.931945419306538,-0.7434140639640759
Jordan Hill,2013-14,1500.0,-0.30000001192092896,-0.3003395254716039,-0.45960340296997004,-0.4297714766642716,-0.4335566409331302,-0.33010978476111513
Kevin Martin,2013-14,2177.0,-2.0999999046325684,-1.5224416208465783,-1.855229449812433,-1.7905891424205418,-1.7250744503372695,-1.4922529858197224
Mirza Teletovic,2013-14,1396.0,-2.200000047683716,-1.9273074110635509,-1.8191938054602368,-1.7483668969719508,-1.592647226679492,-1.8358254453235745
Jason Thompson,2013-14,2007.0,0.30000001192092896,0.6342343234305217,0.5299009501851965,0.5949791983821395,0.5788068618485716,0.6031805086077553
Dion Waiters,2013-14,2072.0,-0.800000011920929,-0.5074087864324758,-0.5736404776218829,-0.5926165107988894,-0.5578927294843692,-0.49474074943194585
Elton Brand,2013-14,1414.0,0.800000011920929,0.4785656939376554,0.2230374701310071,0.22331971811153525,0.30636385744886385,0.47200590431109357
Steve Blake,2013-14,1498.0,-0.30000001192092896,-0.9693124606365408,-0.5791847728952743,-0.5579544879391745,-0.6132813684861809,-0.9358696744324677
Shawn Marion,2013-14,2409.0,-0.20000000298023224,-0.5160637536085295,-0.4703011875720307,-0.4444712819677547,-0.4136532326893475,-0.5454069327270289
Arron Afflalo,2013-14,2552.0,-3.0,-2.902888697213142,-2.568145059434181,-2.5340208290835546,-2.4783107326994727,-2.807471700565009
Aaron Brooks,2013-14,1557.0,-1.7999999523162842,-1.6180005327116065,-1.5441277636712423,-1.5257362229233682,-1.4108690024204642,-1.582629933312959
Jordan Crawford,2013-14,1859.0,-1.899999976158142,-2.015954111316079,-1.680657449316579,-1.608993049253971,-1.5651200842029422,-1.937777934907822
Dante Cunningham,2013-14,1635.0,0.20000000298023224,0.19128444606571798,0.44141842697082717,0.47811198276653993,0.5016433703823724,0.22923602697916806
Kevin Garnett,2013-14,1109.0,3.5,3.1270379380665005,3.162279843298091,3.0752792823288857,3.064379766066232,3.0697594550972114
Amare Stoudemire,2013-14,1466.0,-0.20000000298023224,-1.386567967949567,-1.4606346703020576,-1.4795851674129274,-1.4306153728759121,-1.3609169840010598
Martell Webster,2013-14,2157.0,-2.5,-1.5376576288077883,-1.3430345133793262,-1.428831250471193,-1.4027026729664525,-1.5091905118716922
Steven Adams,2013-14,1197.0,0.10000000149011612,1.204710968172326,1.121440332578086,1.1976315315316624,1.2640415029468894,1.2293691213757156
Trey Burke,2013-14,2262.0,-2.200000047683716,-2.4743306797945612,-2.2690531531602183,-2.2134049765167694,-2.2634198617608363,-2.475416659244274
Gerald Henderson,2013-14,2461.0,-0.20000000298023224,0.14433800830546026,0.4021503424872449,0.3525727025450923,0.40949213925243394,0.1712208512948013
Kelly Olynyk,2013-14,1400.0,-1.2000000476837158,-0.20680152313206868,-0.588194104498852,-0.5914691874193921,-0.5714315225800206,-0.20948147671884454
Zaza Pachulia,2013-14,1325.0,0.30000001192092896,-0.42877527975489105,-0.5669542685764147,-0.5382301881531757,-0.6421635130396462,-0.48133806990933053
Phil Pressey,2013-14,1132.0,0.8999999761581421,0.8273628159859758,0.8022252310160563,0.8442639726198944,0.8974065809811163,0.8234752860377059
Austin Rivers,2013-14,1339.0,-0.8999999761581421,-1.4739503042392605,-1.5912000969487559,-1.5967803263099063,-1.6793641158205785,-1.469376780019888
Brian Roberts,2013-14,1667.0,-0.800000011920929,-1.8564836496477273,-1.7254204112558558,-1.6459903718869078,-1.6583823396760922,-1.8064641874619387
Ramon Sessions,2013-14,2214.0,-2.4000000953674316,-2.66449930113812,-1.998924259984825,-1.9947067464879753,-1.917803644128913,-2.499420387135584
Thaddeus Young,2013-14,2718.0,-1.2000000476837158,-0.4380688021257558,-0.6143489667772837,-0.6444022136930626,-0.750618496056857,-0.4761080466232076
