player,season,mp,y_offense,y_defense,y_total,ours_offense,direct_defense,selected_defense,rank_first_defense,ours_total,old_total,selected_total,rank_first_total,eRD,eRT
Kevin Durant,2013-14,3122.0,7.599999904632568,-0.6000000238418579,7.099999904632568,6.794998251765283,-0.0973572647693586,-0.1578305461712831,-0.14271222582080195,6.637167705594,6.697640986995924,6.637167705594,6.652286025944481,-0.196188377,7.21272137
Chris Paul,2013-14,2171.0,7.099999904632568,3.900000095367432,11.0,6.087177547066031,2.2798608998536647,2.1693721341772143,2.196994325596327,8.256549681243246,8.367038446919697,8.256549681243246,8.284171872662359,2.001470813,8.789732227
Kevin Love,2013-14,2797.0,5.699999809265137,0.8999999761581421,6.599999904632568,5.735227339191354,-0.1125992330538492,-0.06384485131875331,-0.07603344675252728,5.6713824878726005,5.622628106137505,5.6713824878726005,5.659193892438827,0.096116361,4.860856293
James Harden,2013-14,2777.0,6.300000190734863,-0.3000000119209289,6.099999904632568,6.476165331825404,-0.0590805944552517,-0.005098550365190815,-0.01859406138770604,6.4710667814602125,6.4170847373701525,6.471066781460213,6.457571270437699,0.2088589699999999,5.49736804
Kyle Lowry,2013-14,2862.0,4.400000095367432,1.2999999523162842,5.699999809265137,4.345676957163371,0.5878964048666576,0.7028159633534892,0.6740860737317811,5.0484929205168605,4.933573362030028,5.0484929205168605,5.019763030895152,0.558947893,4.268853534
Joakim Noah,2013-14,2820.0,1.5,4.5,5.900000095367432,0.6426727462915913,3.1298828498705262,3.399289989645519,3.3319382047017703,4.04196273593711,3.7725555961621176,4.04196273593711,3.9746109509933616,3.050231063,4.221388071
Paul George,2013-14,2898.0,2.5999999046325684,2.900000095367432,5.599999904632568,2.9540785561668144,2.773297927737938,2.8811356311630356,2.8541762053067607,5.83521418732985,5.727376483904752,5.83521418732985,5.8082547614735756,2.624825375,5.083641651
LeBron James,2013-14,2902.0,5.800000190734863,-1.2999999523162842,4.599999904632568,6.884552510934516,-0.2878174926741108,-0.3630377725162661,-0.34423270255572724,6.52151473841825,6.596735018260405,6.52151473841825,6.540319808378789,-0.032012307,6.770143791
Goran Dragic,2013-14,2668.0,4.800000190734863,0.2000000029802322,5.0,4.9395190458847855,-0.560227003292905,-0.6081187280915391,-0.5961457968918805,4.331400317793246,4.379292042591881,4.331400317793246,4.343373248992905,-0.166298167,4.708336335
Dirk Nowitzki,2013-14,2628.0,4.400000095367432,0.4000000059604645,4.699999809265137,4.174987689986993,0.3298555694825694,0.33769499468850495,0.335735138387021,4.5126826846754975,4.504843259469562,4.5126826846754975,4.510722828374013,-0.528633181,3.805619889
Carmelo Anthony,2013-14,2982.0,4.199999809265137,-0.4000000059604645,3.799999952316284,4.492742848002125,-0.2010021475372261,-0.2002882967672755,-0.2004667594597631,4.29245455123485,4.291740700464899,4.29245455123485,4.292276088542362,-0.516875534,3.283112554
Kawhi Leonard,2013-14,1923.0,1.7000000476837158,5.0,6.699999809265137,1.2334272241452016,3.774599239903571,3.9187438725713806,3.882707714404428,5.152171096716582,5.008026464048773,5.152171096716582,5.11613493854963,3.439128243,5.952502444
DeMarcus Cousins,2013-14,2298.0,1.7000000476837158,3.299999952316284,5.0,0.483756476481154,2.509863327593982,2.5877152748596246,2.568252288043214,3.0714717513407783,2.993619804075136,3.0714717513407788,3.052008764524368,1.452255703,3.601512599
