player,season,mp,y_defense,baseline,hats_features,structure_loss_0.10,component_fixed,component_fixed_l2,component_fixed_masked,published_output_0.075,direct_component_blend_0.25
Chandler Parsons,2013-14,2783.0,-0.800000011920929,-0.08186009120035738,-0.25726323218107644,-0.265882696682627,-0.021212135581608477,-0.04031911377834156,-0.012693185718946315,-0.10454906278240997,-0.06669810229567016
Manu Ginobili,2013-14,1550.0,1.100000023841858,1.6010935044006325,1.7969938644945223,1.798817367859589,1.742931778224345,1.6753271844967208,1.6496617546288634,1.5810702518572917,1.6365530728565607
Marcin Gortat,2013-14,2655.0,2.5,2.8118823925100385,3.0001807113444805,2.947986229604827,2.905536391052547,2.9168015275409194,2.6950358017215406,2.7841012350098824,2.8352958921456652
George Hill,2013-14,2434.0,2.0999999046325684,1.23256652347581,1.9037938475434688,1.8918574287825956,1.2064087994375214,1.2210348534448454,1.3828535656133187,1.3050974166696183,1.226027092466238
Danny Green,2013-14,1651.0,4.0,2.614641151836647,2.818534798675449,2.8044432436111477,2.6606521757605606,2.8849901426947433,2.5551716882802076,2.628167341641499,2.6261439078176254
Serge Ibaka,2013-14,2666.0,2.299999952316284,1.4224211770355741,1.4448919852924353,1.495192781341281,1.453964473773357,1.5761835768306434,1.7647436751051335,1.4405120911410423,1.43030700122002
Trevor Ariza,2013-14,2723.0,0.699999988079071,0.9147354208120186,0.9671256077958089,0.8366882451764587,0.9281945277095232,1.0581608173849426,0.9008042680516992,0.8470976139453615,0.9181001975363948
Anderson Varejao,2013-14,1800.0,3.5999999046325684,2.081273964873028,1.97117374955916,1.8815008495805774,2.287611392620619,2.28508292025386,2.528909697762742,1.9906955339887709,2.132858321809926
David West,2013-14,2472.0,1.5,2.1980808348338976,2.5571184959522975,2.5225315999305895,2.3162195961509746,2.722138195101669,2.179801603445849,2.2394902685059814,2.227615525163167
Deron Williams,2013-14,2059.0,0.6000000238418579,1.1794325471213662,0.9702494950212106,0.9727269366360777,1.0308903879009423,0.8785726191117594,0.7879955499277265,1.1150181165444204,1.1422970073162602
Patrick Beverley,2013-14,1751.0,1.899999976158142,1.5640270401152851,1.4729965260087772,1.424085656380671,1.4660296959775199,1.3862985713865625,1.5940144005380812,1.503908412033007,1.539527704080844
Channing Frye,2013-14,2312.0,0.4000000059604645,0.5068378059689851,0.6331299700285078,0.6150715304167925,0.5635995547268802,0.617979666543294,0.5840026136879086,0.511410940561914,0.5210282431584589
Patty Mills,2013-14,1527.0,0.8999999761581421,1.170275161029417,1.461666385815997,1.5439998559023638,1.1731410866699266,1.0989010433487234,1.5782317760097337,1.272809923910971,1.1709916424395446
Dwight Howard,2013-14,2396.0,2.4000000953674316,1.8249178240420831,1.1802413674905559,1.1963695211387502,1.720661968373566,1.7070879010192692,1.913116774908516,1.7546040216587204,1.7988538601249537
Vince Carter,2013-14,1973.0,0.4000000059604645,0.16523260493756747,-0.015025110844775584,-0.025988918917268393,0.22038213230278814,0.28884958350598644,0.2762428361991479,0.13128470739244383,0.17901998677887265
Darren Collison,2013-14,2069.0,1.600000023841858,-0.4043273931894712,-0.010383633649187707,-0.16960160915520434,-0.3659713202744266,-0.31135920471395145,-0.20883179530145113,-0.3900345648875683,-0.39473837496071007
Andre Drummond,2013-14,2619.0,0.20000000298023224,0.0453913037753583,0.22633131007945373,0.21101084791701183,0.017448296709516975,0.22425438938893572,0.32234238961099304,-0.004774360925385024,0.03840555200889797
PJ Tucker,2013-14,2490.0,0.8999999761581421,0.7667935601975242,0.6420490529740315,0.5807453688000249,0.7309483347642773,0.6668936608062663,1.216794823878104,0.6826334785575486,0.7578322538392125
Draymond Green,2013-14,1797.0,4.599999904632568,3.299393229761573,3.7410755979317685,3.754071600143713,3.278119780711388,3.567609987576978,3.466099828215955,3.309271788261466,3.2940748674990266
Roy Hibbert,2013-14,2409.0,3.4000000953674316,3.2627422957945704,3.753376728864563,3.8794840366257723,3.1965310246929266,3.6865938479156894,3.023843920481039,3.311494029934463,3.2461894780191596
Andrew Bogut,2013-14,1769.0,4.400000095367432,3.886165930794008,4.022389080920433,3.9777760329268785,3.8432565669940946,3.793921800917781,4.016475216236834,3.8372039855904663,3.87543858984403
Al Jefferson,2013-14,2553.0,1.7999999523162842,1.843373231114416,1.754098127665739,1.8043018216451472,1.9252413232533248,1.4768114155819394,1.8987324680110331,1.8500499049364691,1.8638402541491432
David Lee,2013-14,2288.0,1.2000000476837158,1.8991495304425796,1.72002254188616,1.6987991398074853,1.8711129540923874,1.8247003841311633,1.6457938743082972,1.9087478128863842,1.8921403863550315
Nikola Pekovic,2013-14,1663.0,2.200000047683716,0.58830232687186,0.6232777248711929,0.6559076956670085,0.53098151614596,0.4535395610814119,0.6221065519469738,0.6356715618331981,0.573972124190385
Corey Brewer,2013-14,2609.0,0.699999988079071,1.3239366334753173,1.0132481766522716,0.9608432259121937,1.1666385020197647,1.0543549509573877,1.10158145013936,1.2220475429114903,1.284612100611429
Tim Duncan,2013-14,2158.0,3.0,2.3613112077300378,2.7044687604583517,2.622622202047163,2.4993890884538943,2.3372423416640924,2.377697909441422,2.3576854729338463,2.3958306779110017
Kyrie Irving,2013-14,2496.0,-1.2000000476837158,-1.7593506357490896,-1.3901142491570755,-1.3645526980619278,-1.700902978110812,-1.5713270096091696,-1.8743869078167694,-1.7184923546047475,-1.7447387213395202
Kyle Korver,2013-14,2408.0,-0.6000000238418579,0.4714196994052938,0.4672829879457848,0.42724654797955314,0.4156868848281231,0.32091718433187455,0.6388151137498902,0.4788673802634025,0.4574864957610012
Paul Pierce,2013-14,2098.0,1.7999999523162842,2.1670908474664152,2.205873793734352,2.1148173337947624,2.1377823882678806,2.0524166332957687,1.850797661069691,2.102907766676088,2.1597637326667813
Gordon Hayward,2013-14,2800.0,-0.10000000149011612,-0.18532954743461538,-0.5488060269456345,-0.6262289849653431,-0.22423067065527397,-0.13861666764404207,-0.26381382729204206,-0.2924040343538356,-0.19505482823978004
Eric Bledsoe,2013-14,1416.0,2.200000047683716,1.4109388984705642,1.2009750146336664,1.2033665184197446,1.2759438979017135,1.2476370215071002,1.4262678555966595,1.382949629818789,1.3771901483283515
Chris Bosh,2013-14,2531.0,1.0,2.132940516745377,2.2707546702371353,2.220319255587149,2.2996716623209803,2.44698732795569,2.2587494688598366,2.138683894199104,2.174623303139278
DeMar DeRozan,2013-14,3017.0,-1.2999999523162842,-1.2192234961038046,-0.9415298100953178,-0.8922106884947498,-1.149765678615318,-1.1678121241189285,-0.964875024356323,-1.1524220065046111,-1.201859041731683
Reggie Jackson,2013-14,2277.0,0.4000000059604645,-0.10646722045855453,0.06566443736296845,0.11716953976599138,-0.3185437079487768,-0.2059558605960024,-0.19842970429421847,-0.05248733099618906,-0.1594863423311101
Russell Westbrook,2013-14,1412.0,0.4000000059604645,-0.8455324209352693,-0.39780088410673975,-0.468122115217441,-0.9227173631834353,-0.9454032870736625,-0.7053803813599953,-0.7935372739766537,-0.8648286564973108
Monta Ellis,2013-14,3023.0,-0.800000011920929,-1.3278639975438788,-0.9992084387915412,-1.0540474910995465,-1.0652423876341683,-0.8835276345669354,-1.0382395400230373,-1.332704461851758,-1.2622085950664512
Bradley Beal,2013-14,2530.0,0.4000000059604645,0.13947832098655977,0.22435541020772976,0.16066468606039983,0.031818211868691396,0.08932459311956933,0.28016799831858824,0.15447349245920294,0.11256329370709267
Marc Gasol,2013-14,1970.0,2.799999952316284,1.5997344659073085,1.5235687157194175,1.5354569442774173,1.6748701013731884,1.6135490340960508,1.7886132976678037,1.558673732814565,1.6185183747737784
Josh McRoberts,2013-14,2360.0,-1.0,0.41931089125504656,0.5543050719529207,0.5558178191949628,0.29127548507169376,0.3461369269845568,0.29842977857792663,0.4290574625216238,0.3873020397092084
Jared Sullinger,2013-14,2041.0,1.100000023841858,0.8729132966959424,0.8164111239182416,0.737992164734853,0.9925316831306142,1.3372138018641575,0.9788334027608949,0.8609691198873519,0.9028178933046104
Marco Belinelli,2013-14,2016.0,-1.2999999523162842,-1.333370553077731,-0.9996784468067959,-0.9296129149344841,-1.404836789613226,-1.4831362800338241,-1.2031926213037138,-1.2430612243842203,-1.3512371122116047
Randy Foye,2013-14,2485.0,-1.399999976158142,-1.8594178075959327,-1.956330351574021,-1.980410087813754,-2.0662561907977155,-1.9840644244286743,-1.9480751791668611,-1.8529966431241534,-1.9111274033963783
Courtney Lee,2013-14,1973.0,1.0,0.9380702351114508,0.9454340129706535,1.022302177495269,0.7730685334121055,0.8092384489027543,0.6413799293834079,0.9625394224909568,0.8968198096866145
Rudy Gay,2013-14,2531.0,-0.5,-0.5684426768006696,-0.7258089460800504,-0.787476682110055,-0.5784690808484981,-0.604867571165696,-0.5053164815960156,-0.6034849396980628,-0.5709492778126267
Jeremy Lin,2013-14,2054.0,1.7999999523162842,0.8599128314602683,0.71413922360235,0.7571559840874107,0.8657961449118677,0.9854877774636759,0.8556360364736377,0.8420771597309337,0.8613836598231682
Mike Dunleavy,2013-14,2584.0,0.10000000149011612,0.8792252939472489,1.2409530764439949,1.2808300073675343,0.9506777582381285,0.7643490581917549,1.0782342553880693,0.9653168729078546,0.8970884100199689
Amir Johnson,2013-14,2214.0,1.2000000476837158,1.5710102899084695,1.3600545486075524,1.3639663530582333,1.4939781901069527,1.51035001878212,1.6407842616826667,1.5552654143982725,1.5517522649580902
Shane Battier,2013-14,1468.0,2.700000047683716,1.6320156524700404,2.2112493650156053,2.300486509389924,1.5162761789926003,1.6879869365937337,1.4982026511650721,1.724443877061171,1.6030807841006802
Luol Deng,2013-14,2213.0,0.6000000238418579,0.17006920445505214,0.2958283332750095,0.21371125003556274,0.2398485769452107,0.3379534087453683,0.30610275733590286,0.17793574789711133,0.18751404757759177
Kris Humphries,2013-14,1376.0,3.0,0.8232403358455324,1.1069944812076,1.178394795437,0.7127337621420875,0.7091606816783629,0.9484554963500639,0.8728753200820396,0.7956136924196711
Tiago Splitter,2013-14,1271.0,4.199999809265137,4.101278963792667,4.027494726095773,4.050441724757693,3.8931906854445337,4.380404383563521,3.656777958625682,4.072456532619737,4.049256894205634
Boris Diaw,2013-14,1974.0,0.30000001192092896,0.3779909943893262,0.4134645022782325,0.46203053401346506,0.3587227747490026,0.4060841135884639,0.467974307478491,0.45476035794724257,0.37317393947924526
Shaun Livingston,2013-14,1974.0,0.8999999761581421,1.6059396993831605,1.4218185643444643,1.3670533365140825,1.563736921118327,1.622616279530943,1.5663887503877785,1.5207943623265727,1.5953890048169521
Greg Monroe,2013-14,2690.0,-0.30000001192092896,-0.44695181818382074,-0.25970814177217805,-0.3420687649416172,-0.37756643774550924,-0.1635944288899462,-0.3640825435087056,-0.48468894241499483,-0.42960547307424285
Derek Fisher,2013-14,1428.0,2.0,1.4703357959683074,1.7364305066665475,1.6839026988808556,1.500829337145373,1.366646252895993,1.5512276594368175,1.480556709817317,1.4779591812625736
Michael KiddGilchrist,2013-14,1502.0,4.400000095367432,2.021421163230932,1.7016285400167117,1.6385736806618776,2.1264831843545,2.040317763302176,2.1388080937177922,1.9072435602989668,2.0476866685118242
Zach Randolph,2013-14,2705.0,-1.2999999523162842,0.23419034251718612,0.2694855586917733,0.28654222518954464,0.3489201579465472,0.325354929226518,0.4513796333841934,0.2580854274576166,0.26287279637452643
Jeff Teague,2013-14,2542.0,-0.5,-0.39821215528085574,-0.7783466561087873,-0.7431110617177601,-0.5463824628008402,-0.7144824056600897,-0.7841532912461696,-0.3950235988775967,-0.43525473216085186
Dwyane Wade,2013-14,1775.0,-0.20000000298023224,0.7871102561118284,0.32924415532833196,0.2731926739642921,0.7493901013466684,0.7525372536515818,0.7046614030179805,0.6913669131864918,0.7776802174205384
Michael CarterWilliams,2013-14,2414.0,0.6000000238418579,0.06141491179085955,0.2995666612872699,0.16905577196819793,0.004037807099515456,-0.15390959287171474,-0.0800463793804276,0.014616059160184124,0.04707063561802352
Jae Crowder,2013-14,1254.0,3.0,2.0915601599724707,2.388652240155863,2.353643630249597,2.3864637689238144,2.415475621796141,2.405441669215222,2.096972013136682,2.1652860622103067
Joe Johnson,2013-14,2575.0,-2.700000047683716,-1.6103659494271083,-1.3668014056709696,-1.335050596521484,-1.4936809332151377,-1.2382057945105718,-1.6703032998375353,-1.5679799112326989,-1.5811946953741156
Lance Stephenson,2013-14,2752.0,-0.800000011920929,-0.02309027356591374,0.45358904023895463,0.44966397184797335,0.14979817299824794,0.20630620921542714,0.11829154785613338,0.05325821826972539,0.02013183807512668
Tony Allen,2013-14,1278.0,2.4000000953674316,2.8774383977509927,2.8220334014611086,2.7106097238596742,2.850319457090832,3.3438449843766023,2.811723924031414,2.8177534969313576,2.8706586625859525
Nene,2013-14,1560.0,3.799999952316284,2.731930219304957,2.6384725866432954,2.6238648249993832,2.84734065023026,2.804344208804866,2.6983753252093994,2.6828871461182433,2.760782827036283
Terrence Ross,2013-14,2159.0,-0.10000000149011612,-0.48957945262531827,-0.28789819829672225,-0.34044286052464945,-0.4891751200642717,-0.4403868345223445,-0.4489408034316647,-0.47405307030724503,-0.48947836948505663
Chris Andersen,2013-14,1396.0,1.600000023841858,2.1509119617078123,1.6970039168899609,1.74581693679163,2.2367159979597364,2.3476553720599758,2.3833229246895073,2.1319749710859077,2.172362970770793
Kirk Hinrich,2013-14,2116.0,2.0999999046325684,2.2322197396540693,2.4198832022362904,2.4129257384502,2.195021219831775,2.0158372454981968,2.346325356169557,2.2408719136468984,2.222920109698496
Iman Shumpert,2013-14,1962.0,1.0,1.9651976331054821,1.7444323410259195,1.6188666056023326,2.1382649969013365,1.984572793691145,1.9303423212169275,1.8317159946363588,2.0084644740544455
Nick Young,2013-14,1810.0,-1.5,-1.7201173509838261,-2.0118087079711193,-2.023156666532279,-1.7229485799779019,-1.790359459694261,-1.5617194960329426,-1.716361028962889,-1.720825158232345
Alec Burks,2013-14,2193.0,-0.699999988079071,-0.9394213037213011,-0.8669966498198888,-0.9240776545161542,-0.9463868409055578,-0.7955013155638193,-1.0509613103068411,-0.9622023704394245,-0.9411626880173654
Jamal Crawford,2013-14,2094.0,-2.5,-2.100186973469255,-2.108658114975422,-1.9874785714862044,-2.039393954646367,-2.124461536569411,-1.876102277652343,-2.038141232399473,-2.084988718763533
Tyreke Evans,2013-14,2028.0,-0.800000011920929,-1.2729569804019212,-1.4390994746890098,-1.4724295279247324,-1.284511922392584,-1.1418167259725216,-1.2197610313093115,-1.2994175189805703,-1.2758457158995868
Spencer Hawes,2013-14,2470.0,0.5,-0.47891767181960976,-0.31640770000270674,-0.2932661783327493,-0.5158759180350209,-0.47424020281865864,-0.7495278851956115,-0.4459412334508562,-0.4881572333734625
Wilson Chandler,2013-14,1927.0,0.0,-1.16410109779033,-1.206428844725848,-1.1781847458085055,-1.250867159712868,-1.060656215116235,-1.0978399017922862,-1.143839902752094,-1.1857926132709646
Gerald Green,2013-14,2330.0,-1.2999999523162842,-1.0905905368355584,-1.119237502709867,-1.0626616798259336,-1.0854373356027214,-1.0073992101393805,-1.0458717390564334,-1.091736220585042,-1.0893022365273493
CJ Watson,2013-14,1193.0,3.200000047683716,2.693671764680082,2.876738617101978,2.8163829722495852,2.6778535924489058,3.071416051756148,2.6793647720604037,2.685133241281238,2.6897172216222875
Matt Barnes,2013-14,1735.0,-0.30000001192092896,-0.2973667193898839,-0.5896227173685739,-0.5784883224832505,-0.23472227712485305,-0.2178389015606943,-0.33326925421137443,-0.3236038726376058,-0.28170560882362616
Jose Calderon,2013-14,2468.0,-2.0,-2.2257306775391097,-2.142307870020279,-2.0671269443247464,-2.1515642461528666,-2.13044389533525,-2.1447987068739867,-2.1847223449650586,-2.207189069692549
Jrue Holiday,2013-14,1143.0,-0.10000000149011612,-0.3270428808874622,-0.34672270341819655,-0.45139018636147243,-0.49203282573595664,-0.5963405401282255,-0.5697005196126853,-0.36547374827162166,-0.36829036709958585
Brandon Jennings,2013-14,2728.0,-2.799999952316284,-2.3227742510208866,-2.400585999800907,-2.3800349048248806,-2.3609271093084745,-2.2457928206808746,-2.423750374452084,-2.3124508468212026,-2.332312465592784
Jodie Meeks,2013-14,2556.0,-1.2999999523162842,-1.9891935147401938,-1.9821197400585424,-2.016057401700243,-2.0027071795254674,-2.172422071062793,-1.8276184122593688,-1.9766185069183977,-1.9925719309365122
Kyle Singler,2013-14,2337.0,-0.30000001192092896,-0.718396207368105,-0.5085520974862388,-0.5923001180611074,-0.6460018714627016,-0.7527210147761833,-0.5295427103250316,-0.7450003839323455,-0.7002976233917542
Matthew Dellavedova,2013-14,1271.0,0.6000000238418579,0.12627862116287716,0.03622753029590429,0.12975365041674292,0.11749008526270777,0.21518500742431979,0.0637296356280529,0.15060400441832456,0.12408148718783482
Pablo Prigioni,2013-14,1283.0,0.0,0.7198301076262262,0.7263348755934819,0.6351278843800556,0.6869692273515737,0.4979086498434786,0.7921721639211149,0.6444921604391396,0.7116148875575632
Jonas Valanciunas,2013-14,2282.0,0.10000000149011612,0.7887051094497135,0.7928532934069504,0.7613700678267455,0.7647769977575272,0.7426741733377146,0.9633028692245884,0.7927621518879617,0.7827230815266669
Nick Collison,2013-14,1353.0,0.699999988079071,1.8063026182386082,1.5064483525508128,1.5613200132692082,1.7889609467823369,1.3347337439608336,1.5762376395277853,1.8219018975520571,1.8019672003745404
Tony Parker,2013-14,1997.0,-1.0,-1.3690340052339431,-0.9389393907140309,-0.7982100162577768,-1.191538891238534,-1.295740925756366,-1.446065219631206,-1.2501441744470059,-1.3246602267350909
Thabo Sefolosha,2013-14,1584.0,2.299999952316284,1.4328175114013257,1.550019271821401,1.49095335427288,1.4943668791649538,1.5254319670372847,1.7879338868703376,1.4372580688938887,1.4482048533422327
Nikola Vucevic,2013-14,1812.0,0.8999999761581421,0.18148954125731465,0.6969497125866602,0.6795264307351161,0.26258616358270465,0.3395320364846875,0.15866596402287808,0.23655157366246568,0.20176369683866213
DJ Augustin,2013-14,1939.0,-2.0999999046325684,-0.7519869659457574,-0.7213143954648515,-0.6566963845064795,-0.8773757473618868,-0.9963378846869118,-0.5588747647708348,-0.6862531057007301,-0.7833341612997897
Avery Bradley,2013-14,1855.0,0.8999999761581421,-0.30637041311428664,-0.3139868678772961,-0.342562009541592,-0.2757285372354391,-0.2072218472668435,-0.27602802760593004,-0.3198235271493467,-0.29870994414457475
Taj Gibson,2013-14,2351.0,0.800000011920929,1.746884623341919,1.9284212165940997,1.9733175976603583,1.7307067247375154,1.418807876663962,2.393417752697466,1.8206515685874294,1.742840148690818
Khris Middleton,2013-14,2460.0,-0.8999999761581421,-0.9835117599037784,-1.1750531590488031,-1.2320797982361347,-0.9534819287418046,-0.7770389258612405,-1.0320419748136498,-1.0268410362491511,-0.9760043021132849
Victor Oladipo,2013-14,2487.0,2.4000000953674316,1.5658798714713373,1.4096455980008968,1.324535104233205,1.5415778925369348,1.3871299725523087,1.6605301765768874,1.5079063208807062,1.5598043767377368
Nate Wolters,2013-14,1309.0,1.2999999523162842,0.42641122718897784,0.6785605731689104,0.5421228452529039,0.48471156166799917,0.4011263213748803,0.28606446026633486,0.4218059928546471,0.4409863108087332
Ray Allen,2013-14,1936.0,-1.600000023841858,-1.5944440597428233,-1.5330297143655378,-1.4638841560612335,-1.5502124644587814,-1.4873015135424912,-1.5518290040444633,-1.5477187139377069,-1.5833861609218127
Andray Blatche,2013-14,1618.0,1.100000023841858,0.23276850300860136,0.5912703579308534,0.5931131322468832,0.30798500654828453,0.21590276732005076,0.46056520430619285,0.2720013438635709,0.25157262889352217
Samuel Dalembert,2013-14,1614.0,2.5,1.2324417809293073,0.8303096493577468,0.8405858871756441,1.3010899588702194,1.1739314649966965,1.4488853373294326,1.1738745130210542,1.2496038254145354
Jeremy Evans,2013-14,1209.0,1.100000023841858,0.9199260528404473,0.7345509068696283,0.6785927296538625,0.7403074226298121,0.6595605365793633,0.4659439951572105,0.8388329340523885,0.8750213952877884
Derrick Favors,2013-14,2201.0,0.4000000059604645,0.30465026155481345,0.08950889926313857,0.08416825745401443,0.45629264537909175,0.29752831949335357,0.38932228815413494,0.2333280629582142,0.34256085751088305
Jeremy Lamb,2013-14,1538.0,0.0,0.6665452645383272,0.5430418753109809,0.5574177615409882,0.45944805132014654,0.4254500437198378,0.22674799168465556,0.6574593448991793,0.614770961233782
Shelvin Mack,2013-14,1490.0,-0.5,-1.5330338625749513,-1.2723388359081902,-1.218076327678943,-1.5318223791684578,-1.4953902485589143,-1.4253628432926335,-1.4326181749036624,-1.5327309917233278
Patrick Patterson,2013-14,1533.0,0.800000011920929,1.434445072664046,1.5183573614094283,1.5652256082106601,1.32298155332493,1.4628549466032976,1.319029006877039,1.432768924684939,1.4065791928292672
Greivis Vasquez,2013-14,1779.0,-0.4000000059604645,-0.20124701298920816,-0.19997068901408102,-0.15108688628476058,-0.38747237704387294,-0.39246344443003345,-0.41994980567084583,-0.14270924574409244,-0.24780335400287437
Nick Calathes,2013-14,1173.0,3.5,2.2758294865160202,2.3981496462181418,2.381900464820923,2.117165531778557,1.9697386241256636,2.511127683053374,2.274885144952321,2.2361634978316545
